FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET
RECORD_HEADER,Generic record header,,,1,1,1,REC_HEAD,20,20,0
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation,,,1,1,1,boolean,1,1,20
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation,,,1,1,1,boolean,1,1,21
FG_ATMOSPHERIC_TEMPERATURE,A-priori temperature profile (for 120 FOV with up to 101 vertical levels),2,K,101,120,1,u-integer2,2,24240,22
FG_ATMOSPHERIC_WATER_VAPOUR,A-priori water vapour profile (for 30 EFOV with up to 101 vertical levels),7,kg/kg,101,120,1,u-integer4,4,48480,24262
FG_ATMOSPHERIC_OZONE,A-priori ozone profile (for 30 EFOV with up to 101 vertical levels),8,kg/kg,101,120,1,u-integer2,2,24240,72742
FG_SURFACE_TEMPERATURE,A-priori surface skin temperature,2,K,120,1,1,u-integer2,2,240,96982
FG_QI_ATMOSPHERIC_TEMPERATURE,Quality indicator for a-priori temperature profile,1,,120,1,1,u-byte,1,120,97222
FG_QI_ATMOSPHERIC_WATER_VAPOUR,Quality indicator for a-priori water vapour profile,1,,120,1,1,u-byte,1,120,97342
FG_QI_ATMOSPHERIC_OZONE,Quality indicator for a-priori ozone profile,1,,120,1,1,u-byte,1,120,97462
FG_QI_SURFACE_TEMPERATURE,Quality indicator for a-priori surface skin temperature,1,,120,1,1,u-byte,1,120,97582
ATMOSPHERIC_TEMPERATURE,Temperature (for 120 IFOV with up to 101 vertical levels),2,K,101,120,1,u-integer2,2,24240,97702
ATMOSPHERIC_WATER_VAPOUR,Water vapour (for 120 IFOV with up to 101 vertical levels),7,kg/kg,101,120,1,u-integer4,4,48480,121942
ATMOSPHERIC_OZONE,Ozone (for 120 IFOV with up to 101 vertical levels),8,kg/kg,101,120,1,u-integer2,2,24240,170422
SURFACE_TEMPERATURE,Surface temperature (for 120 IFOV),2,K,120,1,1,u-integer2,2,240,194662
