FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,DIM4,TYPE,TYPE_SIZE,FIELD_SIZE,OFFSET
PRODUCT_NAME ,Complete name of the product ,,,,,,,CHAR ,67,100,20
PARENT_PRODUCT_NAME_1 ,"Name of the parent product from which this product has been produced. For Level 0 products, this field is filled with lower case x&apos;s. ",,,1,1,1,1,CHAR ,67,100,120
PARENT_PRODUCT_NAME_2 ,"Name of the parent product from which this product has been produced. For Level 0 products or products for which this is not appropriate, this field is filled with lower case x&apos;s. ",,,1,1,1,1,CHAR ,67,100,220
PARENT_PRODUCT_NAME_3 ,"Name of the parent product from which this product has been produced. For Level 0 products or products for which this is not appropriate, this field is filled with lower case x&apos;s. ",,,1,1,1,1,CHAR ,67,100,320
PARENT_PRODUCT_NAME_4 ,"Name of the parent product from which this product has been produced. For Level 0 products or products for which this is not appropriate, this field is filled with lower case x&apos;s. ",,,1,1,1,1,CHAR ,67,100,420
INSTRUMENT_ID ,Instrument identification ,,,1,1,1,1,E-CHAR ,4,37,520
INSTRUMENT_MODEL ,Instrument Model identification ,,,1,1,1,1,ENUMERATED ,3,36,557
PRODUCT_TYPE ,Product Type ,,,1,1,1,1,E-CHAR ,3,36,593
PROCESSING_LEVEL ,Processing Level Identification ,,,1,1,1,1,E-CHAR ,2,35,629
SPACECRAFT_ID ,Spacecraft identification ,,,1,1,1,1,E-CHAR ,3,36,664
SENSING_START ,"UTC start time of sensing data in this object (PDU, ROI or Full Product) of original product as planned by the PROCESSING CENTRE ",,,1,1,1,1,GENERAL TIME ,15,48,700
SENSING_END ,"UTC end time of sensing data in this object (PDU, ROI or Full Product) of original product as planned by the PROCESSING CENTRE ",,,1,1,1,1,GENERAL TIME ,15,48,748
SENSING_START_THEORETICAL ,Theoretical UTC Time of start of sensing data in the dump from which this object is derived. This data is the predicted start time at the MPF level. ,,,1,1,1,1,GENERAL TIME ,15,48,796
SENSING_END_THEORETICAL ,Theoretical UTC Time of end of sensing data in the dump from which this object is derived. This data is the predicted end time at the MPF level. ,,,1,1,1,1,GENERAL TIME ,15,48,844
PROCESSING_CENTRE ,Processing Centre Identification ,,,1,1,1,1,E-CHAR ,4,37,892
PROCESSOR_MAJOR_VERSION ,Processing chain major version number ,,,1,1,1,1,U-INTEGER ,5,38,929
PROCESSOR_MINOR_VERSION ,Processing chain minor version number ,,,1,1,1,1,U-INTEGER ,5,38,967
FORMAT_MAJOR_VERSION ,Dataset Format Major Version number ,,,1,1,1,1,U-INTEGER ,5,38,1005
FORMAT_MINOR_VERSION ,Dataset Format Minor Version number ,,,1,1,1,1,U-INTEGER ,5,38,1043
PROCESSING_TIME_START ,UTC time of the processing at start of processing for the product ,,,1,1,1,1,GENERAL TIME ,15,48,1081
PROCESSING_TIME_END ,UTC time of the processing at end of processing for the product ,,,1,1,1,1,GENERAL TIME ,15,48,1129
PROCESSING_MODE ,Identification of the mode of processing ,,,1,1,1,1,E-CHAR ,1,34,1177
DISPOSITION_MODE ,Identification of the diposition mode ,,,1,1,1,1,E-CHAR ,1,34,1211
RECEIVING_GROUND_STATION ,Acquisition Station Identification ,,,1,1,1,1,E-CHAR ,3,36,1245
RECEIVE_TIME_START ,UTC time of the reception at CDA for first Data Item ,,,1,1,1,1,GENERAL TIME ,15,48,1281
RECEIVE_TIME_END ,UTC time of the reception at CDA for last Data Item ,,,1,1,1,1,GENERAL TIME ,15,48,1329
ORBIT_START ,"Start Orbit Number, counted incrementally since launch. Determined at time of SENSING START THEORETICAL ",,,1,1,1,1,U-INTEGER ,5,38,1377
ORBIT_END ,Stop Orbit Number. Determined at time of SENSING_END_THEORETICAL ,,,1,1,1,1,U-INTEGER ,5,38,1415
ACTUAL_PRODUCT_SIZE ,Size of the complete product ,,bytes ,1,1,1,1,U-INTEGER ,11,44,1453
STATE_VECTOR_TIME ,Epoch time (in UTC) of the orbital elements and the orbit state vector. This corresponds to the time of crossing the ascending node for ORBIT START ,,UTC ,1,1,1,1,LONG GENERAL TIME ,18,51,1497
SEMI_MAJOR_AXIS ,Semi major axis of orbit at time of the ascending node crossing [TRUE-OF-DATE] ,,mm ,1,1,1,1,INTEGER ,11,44,1548
ECCENTRICITY ,Orbit eccentricity at time of the ascending node crossing [TRUE-OF-DATE] ,6,,1,1,1,1,INTEGER ,11,44,1592
INCLINATION ,Orbit inclination at time of the ascending node crossing [TRUE-OF-DATE] ,3,deg ,1,1,1,1,INTEGER ,11,44,1636
PERIGEE_ARGUMENT ,Argument of perigee at time of the ascending node crossing [TRUE-OF-DATE] ,3,deg ,1,1,1,1,INTEGER ,11,44,1680
